artists_spotify_idxs,album_spotify_idx,duration,explicit,track_spotify_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,195,False,5ipDdzMugyoIZBf4HB2gDV,Chapter 1 & Chapter 2.1 - Skriver med blod,0.712,0.267,-21.66,0.948,0.575,3.89e-06,0.131,0.348,85.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,270,False,3Ezrc81wmso5faOUj8QaWN,Chapter 2.2 - Skriver med blod,0.704,0.173,-21.661,0.933,0.708,3.63e-06,0.127,0.565,137.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,208,False,0735ipOPW4hoHEM6xdfG1B,Chapter 2.3 - Skriver med blod,0.692,0.226,-20.983,0.939,0.727,4.17e-05,0.327,0.474,79.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,203,False,3qezO1xpFWTLD47DZ1dmNx,Chapter 2.4 & Chapter 3.1 - Skriver med blod,0.71,0.196,-22.604,0.932,0.783,3.05e-05,0.116,0.58,130.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,205,False,780Mx4H0pvGRu0wTdU1yKs,Chapter 3.2 - Skriver med blod,0.709,0.151,-22.755,0.917,0.637,9.65e-06,0.135,0.463,132.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,191,False,3pvb1W05Ee6aZDg5f4LcpE,Chapter 3.3 - Skriver med blod,0.695,0.151,-22.965,0.925,0.733,4.9e-05,0.119,0.476,83.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,193,False,6gWuqxUmoMIQZmMhBGDaFW,Chapter 3.4 & Chapter 4.1 - Skriver med blod,0.655,0.239,-22.73,0.935,0.714,0.000123,0.113,0.219,89.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,188,False,10M6EmgkZR5iwfRMkXFMc8,Chapter 4.2 - Skriver med blod,0.753,0.195,-22.613,0.93,0.715,0.000221,0.113,0.476,82.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,191,False,0pBw7YiI39OZ7syX86hMLd,Chapter 4.3 - Skriver med blod,0.625,0.194,-23.192,0.944,0.549,5.06e-05,0.112,0.333,77.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,203,False,29M853MWUtPd76cJq36sBZ,Chapter 4.4 & Chapter 5.1 - Skriver med blod,0.671,0.247,-23.284,0.94,0.669,1.4e-05,0.131,0.264,148.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,218,False,26xi6DRW3gQ09PgCXOK4n8,Chapter 5.2 - Skriver med blod,0.726,0.154,-23.062,0.899,0.711,4.33e-05,0.112,0.541,120.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,214,False,1oo7qqSFRaHieiTQ4cP5sk,Chapter 5.3 & Chapter 6.1 - Skriver med blod,0.705,0.225,-22.995,0.923,0.689,1.44e-05,0.119,0.305,102.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,226,False,0imGyLE8CkBhgRKq3XIHlj,Chapter 6.2 - Skriver med blod,0.71,0.155,-23.382,0.921,0.677,5.14e-05,0.258,0.512,131.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,185,False,5Gjo9yDined2k0L1Uy4DL3,Chapter 6.3 - Skriver med blod,0.72,0.165,-24.103,0.906,0.67,0.000438,0.113,0.469,123.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,202,False,5AiJUIMCnyV0AmyboBljHf,Chapter 6.4 - Skriver med blod,0.721,0.187,-23.841,0.915,0.768,2.39e-05,0.134,0.474,116.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,204,False,4Blg6TPES5L4X5ETypEnTX,Chapter 6.5 & Chapter 7.1 - Skriver med blod,0.614,0.19,-23.502,0.893,0.66,5.1e-05,0.371,0.361,73.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,196,False,4BShBQoZ2HnFYNh3AOtH7O,Chapter 7.2 - Skriver med blod,0.717,0.162,-23.538,0.919,0.67,0.000219,0.114,0.587,70.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,195,False,5WdXveT3ogYjlfLtqGs5ob,Chapter 7.3 & Chapter 8.1 - Skriver med blod,0.64,0.196,-24.652,0.952,0.706,0.000118,0.11,0.295,87.0
['2c5WYCqQGs0UttiLCzVfOe'],005zhQpDsDeWipGz4iBX6v,203,False,2oZMkZAiFpUDYTz4YArCfC,Chapter 8.2 - Skriver med blod,0.634,0.149,-24.794,0.924,0.706,2.42e-05,0.113,0.6,84.0
