artists_spotify_idxs,album_spotify_idx,duration,explicit,track_spotify_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"['7silW8RiEOoLBgAg5JBCL1', '6tdexW8bZTG8NgOFUCYQn1']",00s2JfEtZABigiVqZzvfB2,801,False,29gRaO8SDYAkFbD2fXWYns,"Symphony No. 7 in A, Op.92: I. Poco sostenuto - Vivace",0.314,0.16,-18.86,0.0492,0.941,0.835,0.336,0.101,109.0
"['6tdexW8bZTG8NgOFUCYQn1', '7silW8RiEOoLBgAg5JBCL1']",00s2JfEtZABigiVqZzvfB2,541,False,3xk6EXpJzOddCG5h4lTq6J,"Symphony No. 7 in A, Op.92: II. Allegretto",0.1,0.0234,-25.203,0.042,0.91,0.767,0.109,0.0414,66.0
"['6tdexW8bZTG8NgOFUCYQn1', '7silW8RiEOoLBgAg5JBCL1']",00s2JfEtZABigiVqZzvfB2,581,False,6p6aUkKd6d5eJmfyezKbLz,"Symphony No. 7 in A, Op.92: III. Scherzo (Presto)",0.19,0.114,-21.064,0.0546,0.94,0.846,0.0934,0.118,66.0
"['6tdexW8bZTG8NgOFUCYQn1', '7silW8RiEOoLBgAg5JBCL1']",00s2JfEtZABigiVqZzvfB2,523,False,4RAoom2NWYMyRpX0hzdXgF,"Symphony No. 7 in A, Op.92: IV. Allegro con brio",0.317,0.286,-18.304,0.0365,0.875,0.898,0.0714,0.426,77.0
"['7silW8RiEOoLBgAg5JBCL1', '6tdexW8bZTG8NgOFUCYQn1']",00s2JfEtZABigiVqZzvfB2,539,False,5ndiYCupIebUEql4b0OcaX,"Symphony No. 8 in F, Op.93: I. Allegro vivace e con brio",0.26,0.112,-21.21,0.041,0.949,0.863,0.0855,0.184,146.0
"['6tdexW8bZTG8NgOFUCYQn1', '7silW8RiEOoLBgAg5JBCL1']",00s2JfEtZABigiVqZzvfB2,219,False,0pd6T3O2lOzdOAQW3VEtow,"Symphony No. 8 in F, Op.93: II. Allegretto scherzando",0.532,0.0269,-28.71,0.0329,0.968,0.556,0.115,0.364,91.0
"['7silW8RiEOoLBgAg5JBCL1', '6tdexW8bZTG8NgOFUCYQn1']",00s2JfEtZABigiVqZzvfB2,293,False,4583gPLekJaSAI6aktGQde,"Symphony No. 8 in F, Op.93: III. Tempo di Minuetto",0.248,0.0224,-25.178,0.038,0.981,0.85,0.172,0.187,108.0
"['7silW8RiEOoLBgAg5JBCL1', '6tdexW8bZTG8NgOFUCYQn1']",00s2JfEtZABigiVqZzvfB2,438,False,11gRRQZn2YUfHB8HQ9M4er,"Symphony No. 8 in F, Op.93: IV. Allegro vivace",0.325,0.14,-22.517,0.0416,0.947,0.723,0.107,0.206,142.0
"['1JOQXgYdQV2yfrhewqx96o', '6y4i44AQprvo9NB1aQw0LA']",01ddP2AJtMhDdDCbbkorF0,241,False,74Y7bxeO3f03MkwLkOBIRf,Verdi: Un ballo in maschera: Preludio (Allegro assai moderato),0.206,0.0248,-27.963,0.0418,0.944,0.669,0.097,0.0751,146.0
"['1JOQXgYdQV2yfrhewqx96o', '7BS4d9amKBMOvlonNGx14U', '7fvx6pdccpIicgEbNbBdrm', '06MDD2tGLJbN2URk3WzXAm', '11vpC3XmFb1LIP2ugl96lZ', '7silW8RiEOoLBgAg5JBCL1']",01ddP2AJtMhDdDCbbkorF0,104,False,5QW2FNDRABPtzXAWjni309,"Un ballo in maschera, Act I, Scene 1: Posa in pace, a'bei sogni restora (Coro/Samuel/Tom)",0.247,0.0431,-30.505,0.04,0.991,0.0136,0.118,0.194,130.0
