artists_spotify_idxs,album_spotify_idx,duration,explicit,track_spotify_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,45,False,5S97wuui7d42i2lxaDZ9P7,Intro,0.631,0.518,-11.888,0.644,0.0733,0.0,0.0682,0.621,80.0
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,309,False,4y1FNpeqwzcxj4rqWXSq7n,bang bang,0.809,0.824,-6.112,0.0673,0.114,0.0,0.368,0.767,96.0
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,295,False,7GMUn5rcRdJ1kWauf4igCF,Apiye,0.75,0.818,-6.873,0.0534,0.35,0.0,0.228,0.664,93.0
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,310,False,1NPLDIVvyDtymNaxAww8vO,Player,0.72,0.785,-7.422,0.0368,0.308,0.000191,0.0931,0.691,92.0
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,376,False,3NGWTU8pclqUPHBopJlqzE,Wanrage,0.659,0.835,-5.564,0.0367,0.265,3.16e-05,0.265,0.75,92.0
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,39,False,7xUVYIh4oFH0FJ3zitUZId,Interlude,0.58,0.253,-18.228,0.265,0.977,0.00106,0.226,0.716,116.0
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,297,False,5KDkc2nINSsGp1BJqHt2ow,I want to be,0.751,0.796,-5.579,0.0378,0.554,1.31e-06,0.174,0.77,89.0
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,269,False,4Rd2Dy9at0Ff0Jfsh2TULD,pa pale,0.813,0.855,-5.743,0.0558,0.43,1.61e-05,0.127,0.695,94.0
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,342,False,5lxcUjaOD42wieKmUGAA1g,chagrin kriminel,0.756,0.789,-7.005,0.0453,0.427,9.06e-05,0.165,0.688,89.0
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,292,False,0AllTOMnHZFPR4JDa6o4TE,Touman,0.791,0.888,-4.397,0.0472,0.251,0.0,0.165,0.885,106.0
['7sDhzCtTnUnJc3drYannat'],003g3T1YP7Jx0vZClLTvL9,271,False,6zvCTFWdsG7y9FuxpKYggw,kompa mato,0.786,0.91,-3.417,0.0325,0.43,1.57e-06,0.256,0.89,114.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '2D90eAxzLfSL7KkvptyUtF']",00B1EbMgeYqVrqsoP12Duq,249,False,6pXmIHCEO3y2gKsgD2oy2T,I'll Be Home for Christmas,0.55,0.278,-15.996,0.0338,0.949,0.873,0.111,0.371,115.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '4pCyb0hbsPwelBSSD0JtKX', '2D90eAxzLfSL7KkvptyUtF', '0xm299liTAHEVJSdus8sbY']",00B1EbMgeYqVrqsoP12Duq,291,False,0gxrvpNohMbxr8e9KOIAkk,Happy Holiday,0.615,0.407,-17.343,0.0387,0.853,0.595,0.108,0.724,82.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '2LItgcmlHsUt6BikoXc1Df', '3YVrdY7AEFXbLXOjRRXAqs', '0xm299liTAHEVJSdus8sbY']",00B1EbMgeYqVrqsoP12Duq,181,False,3lXKJcG2LXq6hk0QzbpBNq,The Holly and the Ivy,0.553,0.268,-17.883,0.0394,0.964,0.893,0.094,0.389,135.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '2LItgcmlHsUt6BikoXc1Df', '4pCyb0hbsPwelBSSD0JtKX', '3YVrdY7AEFXbLXOjRRXAqs']",00B1EbMgeYqVrqsoP12Duq,155,False,1lmfKIXtGY4YVZHPVVFEXQ,Up on the Housetop,0.63,0.208,-20.501,0.0414,0.946,0.792,0.107,0.561,88.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '4pCyb0hbsPwelBSSD0JtKX']",00B1EbMgeYqVrqsoP12Duq,276,False,56vtQYgaqct56XgJO8pil4,White Christmas,0.563,0.263,-16.099,0.0397,0.974,0.906,0.12,0.296,105.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '3YVt5oKfFEE0yJa7yJ3wWE']",00B1EbMgeYqVrqsoP12Duq,196,False,5758jgwqlISbWG7qsqfRSK,Santa Baby,0.546,0.258,-14.637,0.0307,0.888,0.842,0.079,0.416,104.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '4pCyb0hbsPwelBSSD0JtKX', '2LItgcmlHsUt6BikoXc1Df', '3YVrdY7AEFXbLXOjRRXAqs']",00B1EbMgeYqVrqsoP12Duq,205,False,0XzjBQmh5II4tHcXqOC6LL,Here We Come a-Caroling,0.573,0.329,-16.726,0.0414,0.899,0.763,0.101,0.727,97.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '2LItgcmlHsUt6BikoXc1Df', '3YVrdY7AEFXbLXOjRRXAqs']",00B1EbMgeYqVrqsoP12Duq,242,False,1L13mGFVcUG3H2cX8B5qsd,The Christmas Song,0.471,0.114,-20.728,0.132,0.991,0.896,0.101,0.131,66.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '1CmCeIsw4tTFiufFAJx04M', '0xm299liTAHEVJSdus8sbY']",00B1EbMgeYqVrqsoP12Duq,226,False,5XI2fCSoLHAv5oCDvr9aIe,It's Beginning to Look a Lot Like Christmas,0.585,0.337,-15.89,0.0318,0.854,0.621,0.092,0.783,145.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '4pCyb0hbsPwelBSSD0JtKX', '0xm299liTAHEVJSdus8sbY']",00B1EbMgeYqVrqsoP12Duq,249,False,7pKDONN4QhWqLqdNQH9s1m,"You're a Mean One, Mr. Grinch",0.596,0.353,-16.5,0.0353,0.934,0.853,0.093,0.531,101.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '3YVt5oKfFEE0yJa7yJ3wWE']",00B1EbMgeYqVrqsoP12Duq,266,False,6xgc7w88P8bw7VW5nhUdKB,Silent Night,0.517,0.169,-16.142,0.0285,0.964,0.75,0.0893,0.21,95.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '2LItgcmlHsUt6BikoXc1Df', '3YVrdY7AEFXbLXOjRRXAqs']",00B1EbMgeYqVrqsoP12Duq,162,False,5YepUcAOnC8e5qu4qW9Jfj,O Christmas Tree,0.598,0.28,-18.519,0.0381,0.899,0.923,0.106,0.573,148.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '6MYcmachC8yi0XY7pGlcL9']",00B1EbMgeYqVrqsoP12Duq,254,False,5n5fSkKwaAiLd5j9ba6Wwe,Have Yourself a Merry Little Christmas,0.676,0.234,-16.493,0.0347,0.984,0.922,0.127,0.405,83.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '4pCyb0hbsPwelBSSD0JtKX', '2LItgcmlHsUt6BikoXc1Df', '3YVrdY7AEFXbLXOjRRXAqs']",00B1EbMgeYqVrqsoP12Duq,238,False,29jruDm99POihJ9T1kpb9x,My Favorite Things,0.533,0.311,-16.916,0.0316,0.96,0.849,0.104,0.327,86.0
"['7vo2Hl0NDiBr6GcyGDSLFZ', '2LItgcmlHsUt6BikoXc1Df']",00B1EbMgeYqVrqsoP12Duq,247,False,3kXHUzZ2TD0lICORVgf9oZ,Auld Lang Syne,0.597,0.0958,-19.745,0.0447,0.987,0.753,0.11,0.144,68.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,149,False,5jb86VQ8qpA5bFVlcEZkso,It’s A Good Day,0.774,0.47,-6.945,0.0546,0.541,0.0,0.0843,0.852,123.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,136,False,0ZQfaTf1sF4GnuJEPQxV1J,Ain't We Got Fun?,0.656,0.296,-10.961,0.104,0.758,0.0,0.118,0.633,78.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,171,False,6dRvaNUAbJErmm5jAl9lGc,Calcutta,0.709,0.417,-7.48,0.0539,0.62,0.0,0.144,0.415,134.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,177,False,6lTZEoJkujn6mZqk5Ek1A5,Drinking Again,0.444,0.2,-11.292,0.0298,0.54,6.18e-05,0.177,0.18,101.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,160,False,0d8OYMHh4jRxqmXpBytNyy,Come To The Mardi Gras,0.739,0.381,-7.519,0.0414,0.705,0.0,0.0734,0.718,94.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,165,False,1zBq6qRtr4HQ4ULXjVKxne,Better Than A Dream,0.627,0.352,-7.012,0.0319,0.9,0.0,0.069,0.66,104.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,166,False,4c3HeeoG640m2vXWyaaS0F,It Doesn't Cost A Dime To Dream,0.758,0.222,-10.711,0.0441,0.851,0.0,0.123,0.555,113.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,151,False,2aLoHd7Da3TDGCCqbiOyuv,This Could Be The Start Of Something Big,0.567,0.499,-5.583,0.0417,0.683,0.0,0.36,0.772,132.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,149,False,6HtypoC5mF5DWpQnrkvf31,That Holiday Feeling,0.592,0.365,-7.075,0.0317,0.714,0.0,0.14,0.771,144.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,139,False,1qW7wzqg6YGG8XowgX4Rem,Happy Holiday,0.541,0.385,-9.659,0.0376,0.708,1.49e-06,0.101,0.661,124.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,187,False,5DUuN2lYcN4B56Vzf3pU4Y,Peachtree Street,0.77,0.296,-9.04,0.0438,0.632,0.0,0.107,0.654,110.0
"['7pLntWGInZPQxc4kXxzzjB', '79D4dipwR6scV8AN3dm7gW']",01EfeBDMYdCvlJlYN6ZNBn,160,False,1HoI0R2zC7n6yiNaDHAffT,Cozy,0.554,0.185,-10.652,0.0328,0.792,0.0,0.0638,0.34,86.0
