artists_spotify_idxs,album_spotify_idx,duration,explicit,track_spotify_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"['7wNkISK49lKeXuRaZcQVFe', '2tfWguHr2nj4e8KXLKciVq', '5yxyJsFanEAuwSM5kOuZKc']",00F0d6hYjjOGor3X1a9atq,537,False,2IdXwYowFaRIwizZjW3ttz,I. Overture,0.241,0.282,-13.474,0.0376,0.943,0.852,0.0889,0.0941,150.0
"['7wNkISK49lKeXuRaZcQVFe', '2tfWguHr2nj4e8KXLKciVq', '5yxyJsFanEAuwSM5kOuZKc']",00F0d6hYjjOGor3X1a9atq,776,False,1BhKoBxOesYXmOtczg1AoU,"Symphony No. 5 in D Major, IRV. 86: I. Preludio",0.0629,0.14,-16.543,0.0404,0.922,0.927,0.0904,0.039,68.0
"['7wNkISK49lKeXuRaZcQVFe', '2tfWguHr2nj4e8KXLKciVq', '5yxyJsFanEAuwSM5kOuZKc']",00F0d6hYjjOGor3X1a9atq,321,False,2p1Y1lX1zfceahTtYkB9At,"Symphony No. 5 in D Major, IRV. 86: II. Scherzo - Presto misterioso",0.279,0.126,-23.217,0.0378,0.961,0.929,0.129,0.323,105.0
"['7wNkISK49lKeXuRaZcQVFe', '2tfWguHr2nj4e8KXLKciVq', '5yxyJsFanEAuwSM5kOuZKc']",00F0d6hYjjOGor3X1a9atq,742,False,02nuAwiBkBYk8JiAc4Zvm0,"Symphony No. 5 in D Major, IRV. 86: III. Romanza - Lento",0.0802,0.0507,-19.104,0.0407,0.952,0.908,0.0762,0.0378,83.0
"['7wNkISK49lKeXuRaZcQVFe', '2tfWguHr2nj4e8KXLKciVq', '5yxyJsFanEAuwSM5kOuZKc']",00F0d6hYjjOGor3X1a9atq,677,False,6MPWUJGvhfjbUIwJUHxBfX,"Symphony No. 5 in D Major, IRV. 86: IV. Passacaglia - Moderato",0.0893,0.137,-14.777,0.0375,0.934,0.939,0.134,0.0665,83.0
"['7u6Gx54gVoqectnH929a5C', '6roHEyIYylBfbgDyOq7lGL']",00nLTz0ilICXaj7W0NIpcv,215,False,5c633PdH3d9sWyYlpmGhad,妖々夢 ~ Snow or Cherry Petal(東方妖々夢)PIANO,0.338,0.168,-19.74,0.0451,0.974,0.924,0.108,0.0614,117.0
"['7u6Gx54gVoqectnH929a5C', '6roHEyIYylBfbgDyOq7lGL']",00nLTz0ilICXaj7W0NIpcv,321,False,0MIqlj2KS5OJIGPh6VHvru,遠野幻想物語(東方妖々夢)PIANO,0.485,0.15,-18.382,0.0479,0.985,0.922,0.241,0.142,118.0
"['7u6Gx54gVoqectnH929a5C', '6roHEyIYylBfbgDyOq7lGL']",00nLTz0ilICXaj7W0NIpcv,228,False,2bOV6H7vDbHE5nxDsNM8oH,ブクレシュティの人形師(東方妖々夢)PIANO,0.42,0.175,-22.375,0.0443,0.954,0.923,0.0963,0.125,70.0
"['7u6Gx54gVoqectnH929a5C', '6roHEyIYylBfbgDyOq7lGL']",00nLTz0ilICXaj7W0NIpcv,255,False,6rQAenwlqVcjPf18Z5u8iL,幽霊楽団 ~ Phantom Ensemble(東方妖々夢)PIANO,0.32,0.137,-20.175,0.0494,0.983,0.909,0.116,0.11,180.0
"['7u6Gx54gVoqectnH929a5C', '6roHEyIYylBfbgDyOq7lGL']",00nLTz0ilICXaj7W0NIpcv,361,False,179EOlkBWoBQcRQjnc9dV7,東方妖々夢~広有射怪鳥事(東方妖々夢)PIANO,0.333,0.154,-17.62,0.0442,0.967,0.9,0.116,0.116,77.0
"['7u6Gx54gVoqectnH929a5C', '6roHEyIYylBfbgDyOq7lGL']",00nLTz0ilICXaj7W0NIpcv,159,False,47MYJSjtl5awPzPCrnARpI,アルティメットトゥルース(東方妖々夢)PIANO,0.155,0.483,-11.484,0.0382,0.972,0.883,0.179,0.25,75.0
