artists_spotify_idxs,album_spotify_idx,duration,explicit,track_spotify_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['3TVifQ5FPcIzzcYSUuJkp9'],005w0J5X9b2u9bwtvh9up3,236,False,2WqxmY8GM7zzIDHZohnhLx,Le Mie Ragazze,0.616,0.776,-8.586,0.0357,0.0112,2.22e-05,0.158,0.707,142.0
['3TVifQ5FPcIzzcYSUuJkp9'],005w0J5X9b2u9bwtvh9up3,286,False,785sUoHDUl7xTA70gQZ1mi,Dove?,0.519,0.638,-8.766,0.0358,0.179,0.00327,0.115,0.701,62.0
['3TVifQ5FPcIzzcYSUuJkp9'],005w0J5X9b2u9bwtvh9up3,246,False,16fJvJEDrwCTVW18pzexVZ,Le Lettere D'Amore (Chevalier De Pas),0.313,0.34,-10.127,0.0384,0.684,0.0,0.107,0.216,77.0
['3TVifQ5FPcIzzcYSUuJkp9'],005w0J5X9b2u9bwtvh9up3,328,False,4xGGLVZJsdGELwB6qQMVeK,Il Cielo Capovolto (Ultimo Canto Di Saffo),0.249,0.158,-17.909,0.0364,0.843,0.000416,0.112,0.173,90.0
['3TVifQ5FPcIzzcYSUuJkp9'],005w0J5X9b2u9bwtvh9up3,268,False,0NRluWSaao9VEMChWhWrAi,Il Tuo Culo E Il Tuo Cuore,0.641,0.834,-7.099,0.0385,0.0196,0.0,0.101,0.773,142.0
['3TVifQ5FPcIzzcYSUuJkp9'],005w0J5X9b2u9bwtvh9up3,242,False,3kNyFmEJQ2r5PWqzzRJo8C,L'Amore Mio,0.365,0.362,-10.407,0.0364,0.658,0.0,0.207,0.346,170.0
['3TVifQ5FPcIzzcYSUuJkp9'],005w0J5X9b2u9bwtvh9up3,265,False,1ZdjR0nGsde0PnqvOOw7Dk,Il Mio Piccolo Genio,0.7,0.788,-7.255,0.0316,0.169,0.0,0.0548,0.917,137.0
['3TVifQ5FPcIzzcYSUuJkp9'],005w0J5X9b2u9bwtvh9up3,178,False,3A3dqDfFtvyIdS4O6F9ezV,Piccolo Stupidi,0.333,0.281,-10.469,0.0362,0.562,0.0,0.113,0.159,82.0
['3TVifQ5FPcIzzcYSUuJkp9'],005w0J5X9b2u9bwtvh9up3,265,False,504fHzbEAHlMLH21nvZjuy,Hotel Dei Giorni Immobili,0.716,0.499,-8.856,0.0491,0.525,0.0,0.161,0.782,91.0
['3TVifQ5FPcIzzcYSUuJkp9'],005w0J5X9b2u9bwtvh9up3,350,False,2ssXUYpVMP3WOuP3GMyhUH,Conversazione Con Una Triste Signora Blu,0.527,0.374,-9.32,0.0348,0.121,1.25e-05,0.121,0.13,126.0
['3XQIlYQsopsDCYMSkf1rEW'],007LjC0qUKtnOwj4NZgY7X,195,False,5fkSa0LL4IS7iZM0QmVbgI,Soundcheck,0.652,0.447,-12.644,0.356,0.385,0.372,0.943,0.906,93.0
['3XQIlYQsopsDCYMSkf1rEW'],007LjC0qUKtnOwj4NZgY7X,175,False,4f5pOQyrUQNNFjIUuwlnlA,Hit The Dank,0.876,0.506,-11.456,0.926,0.502,0.000187,0.562,0.728,144.0
"['3XQIlYQsopsDCYMSkf1rEW', '34JggPgW1gSwIlWr8C0r6c', '5SuPIkCZe2U5TZCqYX4mcI']",007LjC0qUKtnOwj4NZgY7X,154,False,4nDEZjgYAkLHxyNHzNYu8T,Second Chance,0.46,0.495,-6.116,0.407,0.221,0.00114,0.2,0.514,176.0
['3XQIlYQsopsDCYMSkf1rEW'],007LjC0qUKtnOwj4NZgY7X,41,False,1TRSq10FZ830N8pJed1vGH,Zigaretta,0.714,0.463,-10.215,0.274,0.516,0.715,0.125,0.771,87.0
"['3XQIlYQsopsDCYMSkf1rEW', '5Rf3GChlamKgx3G0lYzTSt']",007LjC0qUKtnOwj4NZgY7X,165,True,3KYeNVrbNP6d4I04LAnD1R,The Brain,0.565,0.528,-8.528,0.43,0.0361,0.0,0.343,0.626,81.0
['3XQIlYQsopsDCYMSkf1rEW'],007LjC0qUKtnOwj4NZgY7X,91,False,56WutsQGtqwlCPcPW32zmX,Wasted Night,0.536,0.552,-9.194,0.0546,0.344,0.149,0.105,0.523,87.0
['3XQIlYQsopsDCYMSkf1rEW'],007LjC0qUKtnOwj4NZgY7X,190,False,08a2MtbQ3RYmjXkfNt8wP8,Bounce With Me,0.716,0.372,-13.456,0.0812,0.572,0.266,0.831,0.789,145.0
"['3XQIlYQsopsDCYMSkf1rEW', '67pW04a6jpdQR2yWqjcfxs']",007LjC0qUKtnOwj4NZgY7X,291,False,3X8s338DBoHjgCOGQzIEp0,Another Wasted Night (Bluestaeb Redesign),0.382,0.424,-7.717,0.155,7.36e-05,0.757,0.88,0.325,86.0
['3afJ7ksCTA53PwM233jIf8'],007Wr024oe62MeJ0TDmoDe,194,False,5hd78sSGFwlEGss3UX9YBE,Core 'ngrato,0.277,0.311,-10.452,0.03,0.981,0.000729,0.167,0.229,87.0
['3afJ7ksCTA53PwM233jIf8'],007Wr024oe62MeJ0TDmoDe,162,False,69pixFeQzDQEVBgelkc4BX,"Funiculì, funiculà",0.588,0.515,-9.151,0.0721,0.96,1.52e-06,0.331,0.541,129.0
"['3afJ7ksCTA53PwM233jIf8', '3lbhGbo5PMjVzfLG3zTboA']",007Wr024oe62MeJ0TDmoDe,228,False,2w9exCCpTpaIfhTuseAvhN,'O sole mio,0.2,0.268,-11.409,0.0309,0.974,0.00399,0.149,0.313,90.0
['3afJ7ksCTA53PwM233jIf8'],007Wr024oe62MeJ0TDmoDe,147,False,2BnL1dvfe3TPFhGj4jOqEI,Mattinata,0.271,0.281,-11.316,0.0301,0.984,0.00194,0.0948,0.177,93.0
['3afJ7ksCTA53PwM233jIf8'],007Wr024oe62MeJ0TDmoDe,212,False,5BT6MZJj8OGLj2Vjeq2fjQ,"Mamma mia, che vo' sapè",0.322,0.138,-13.256,0.0342,0.972,1.08e-05,0.254,0.351,84.0
['3afJ7ksCTA53PwM233jIf8'],007Wr024oe62MeJ0TDmoDe,156,False,1om2yZtUiBd8M26FfIZ04w,La vilanella,0.441,0.425,-11.201,0.0616,0.954,0.00012,0.313,0.754,178.0
"['3afJ7ksCTA53PwM233jIf8', '3lbhGbo5PMjVzfLG3zTboA']",007Wr024oe62MeJ0TDmoDe,184,False,221w3kz7kFBa8may5oLuzX,Marechiare,0.263,0.312,-12.089,0.0404,0.956,0.0013,0.171,0.534,61.0
['3afJ7ksCTA53PwM233jIf8'],007Wr024oe62MeJ0TDmoDe,157,False,5aqdmL5AIdiKscLE2R8tJ5,'A Vucchella,0.199,0.0916,-15.737,0.0326,0.976,0.000266,0.123,0.162,94.0
['3afJ7ksCTA53PwM233jIf8'],007Wr024oe62MeJ0TDmoDe,130,False,1oOmgFKbx4hpnVfiG1Vsjt,Comme facette mammeta?,0.612,0.461,-11.001,0.0587,0.939,1.44e-05,0.315,0.96,128.0
['3afJ7ksCTA53PwM233jIf8'],007Wr024oe62MeJ0TDmoDe,219,False,0DjEcY4QOLbqJcMN8fixN7,Fenesta che lucive,0.178,0.0867,-18.38,0.0358,0.985,0.0055,0.11,0.224,168.0
['3afJ7ksCTA53PwM233jIf8'],007Wr024oe62MeJ0TDmoDe,180,False,0YLHKUuyC9JqfquGTZwGcd,Torna 'a Surriento,0.271,0.215,-12.715,0.0333,0.982,0.00435,0.125,0.287,65.0
['3afJ7ksCTA53PwM233jIf8'],007Wr024oe62MeJ0TDmoDe,145,False,2YI1FhRzHhet6oRymOpvOd,O surdato 'namorato,0.569,0.461,-10.589,0.119,0.919,0.0,0.816,0.769,119.0
['3RwQ26hR2tJtA8F9p2n7jG'],00CO8WwZ8YgoSfB2k7ERI4,265,False,6X9dAukJ7WsV3fsxYnOevM,"Never, Never Gonna Give Ya Up",0.482,0.771,-9.172,0.0989,0.039,1.73e-06,0.143,0.686,85.0
['3RwQ26hR2tJtA8F9p2n7jG'],00CO8WwZ8YgoSfB2k7ERI4,183,False,1jb1rJosAk83TvDX0n8TgY,"Hold On, I'm Comin'",0.653,0.779,-4.505,0.113,0.237,0.0,0.162,0.827,105.0
['3RwQ26hR2tJtA8F9p2n7jG'],00CO8WwZ8YgoSfB2k7ERI4,345,False,6rJiqnmSsozzFUzdTXoart,Wake Up Everybody,0.485,0.9,-5.439,0.2,0.23,0.0,0.0712,0.803,189.0
['3RwQ26hR2tJtA8F9p2n7jG'],00CO8WwZ8YgoSfB2k7ERI4,282,False,2W2MuwlkdPz7CTDnshqj7N,Minute By Minute,0.623,0.595,-6.833,0.0668,0.439,0.0,0.286,0.788,99.0
['3RwQ26hR2tJtA8F9p2n7jG'],00CO8WwZ8YgoSfB2k7ERI4,197,False,3fmaPV9jYwNAovWgbzNVwU,I'm In Love,0.354,0.619,-8.34,0.0719,0.237,0.0,0.16,0.442,183.0
['3RwQ26hR2tJtA8F9p2n7jG'],00CO8WwZ8YgoSfB2k7ERI4,277,False,12FBtim2khtCkq3E0IHydb,Don't Ask My Neighbors,0.504,0.486,-9.854,0.0483,0.565,0.0,0.112,0.42,136.0
